id,animal,entropia,metodo
40,31-1,12.38495291,Santiago
46,31-1,12.58724831,Santiago
11,31-1,12.64284655,Santiago
12,31-1,13.05352782,Santiago
38,31-1,13.13529135,Santiago
49,31-1,13.18344756,Santiago
13,31-1,13.26312216,Santiago
6,31-1,13.42341305,Santiago
9,31-1,13.44631953,Santiago
39,31-1,13.7502645,Santiago
37,31-1,13.77829314,Santiago
3,31-1,13.8484385,Santiago
4,31-1,14.12251494,Santiago
1,31-1,14.18877488,Santiago
2,31-1,14.5386732,Santiago
32,37-3,9.28,Cooke
22,37-3,9.31,Cooke
16,37-3,9.68,Cooke
38,37-3,9.71,Cooke
20,37-3,9.76,Cooke
28,37-3,9.8,Cooke
17,37-3,9.92,Cooke
37,37-3,9.96,Cooke
8,37-3,10.43,Cooke
47,37-3,10.48,Cooke
11,37-3,10.64,Cooke
44,37-3,10.69,Cooke
26,37-3,10.81,Cooke
46,37-3,10.93,Cooke
43,37-3,11.04,Cooke
27,37-3,11.24,Cooke
45,37-3,11.26,Cooke
15,37-3,11.29,Cooke
18,37-3,11.3,Cooke
35,37-3,11.32,Cooke
41,37-3,11.33,Cooke
30,37-3,11.68,Cooke
24,37-3,11.73,Cooke
31,37-3,11.73,Cooke
12,37-3,11.85,Cooke
25,37-3,12.07,Cooke
49,37-3,12.08,Cooke
5,37-3,12.12,Cooke
14,37-3,12.43,Cooke
6,37-3,12.54,Cooke
48,37-3,12.62,Cooke
9,37-3,12.8,Cooke
10,37-3,12.86,Cooke
7,37-3,13.16,Cooke
21,37-3,13.17,Cooke
40,37-3,13.22,Cooke
42,37-3,13.22,Cooke
19,37-3,13.26,Cooke
50,37-3,13.44,Cooke
33,37-3,13.46,Cooke
3,37-3,13.8,Cooke
34,37-3,14.11,Cooke
39,37-3,14.33,Cooke
4,37-3,14.51,Cooke
1,37-3,14.72,Cooke
2,37-3,14.79,Cooke
32,37-3,9.366966116,Santiago
22,37-3,9.428100145,Santiago
16,37-3,9.587338011,Santiago
38,37-3,9.687340702,Santiago
20,37-3,9.729971948,Santiago
28,37-3,10.31919154,Santiago
17,37-3,10.36982648,Santiago
37,37-3,10.64043083,Santiago
8,37-3,10.9126632,Santiago
47,37-3,10.94558873,Santiago
11,37-3,10.95858298,Santiago
44,37-3,11.01446267,Santiago
26,37-3,11.25208983,Santiago
46,37-3,11.33506869,Santiago
43,37-3,11.43811124,Santiago
27,37-3,11.52790031,Santiago
45,37-3,11.62074291,Santiago
15,37-3,11.82526233,Santiago
18,37-3,11.82999358,Santiago
35,37-3,11.8760351,Santiago
41,37-3,11.94011629,Santiago
30,37-3,11.94043308,Santiago
24,37-3,11.95619609,Santiago
31,37-3,11.98578085,Santiago
12,37-3,12.04058166,Santiago
25,37-3,12.06300175,Santiago
49,37-3,12.12829526,Santiago
5,37-3,12.13629755,Santiago
14,37-3,12.32579255,Santiago
6,37-3,12.37645628,Santiago
48,37-3,12.49111964,Santiago
9,37-3,12.51386827,Santiago
10,37-3,12.55644825,Santiago
7,37-3,12.6325929,Santiago
21,37-3,12.86228681,Santiago
40,37-3,12.89952448,Santiago
42,37-3,13.03131276,Santiago
19,37-3,13.12666529,Santiago
50,37-3,13.19165734,Santiago
33,37-3,13.30486462,Santiago
3,37-3,13.53529957,Santiago
34,37-3,13.64586743,Santiago
39,37-3,13.68960536,Santiago
4,37-3,13.90236216,Santiago
1,37-3,14.31231513,Santiago
2,37-3,14.63349864,Santiago
