,set,entropy
40,45,5.519885493
22,29,7.435078771
28,34,7.700956487
16,23,7.978865721
11,19,8.365707339
7,15,8.950923862
49,53,8.977147608
27,33,9.126756402
8,16,9.491698593
34,4,9.49917832
21,28,9.612883716
19,26,9.673890541
15,22,9.914913924
5,13,10.33752234
47,51,10.63807722
18,25,10.82908273
53,9,10.83520538
4,12,10.95096532
35,40,11.3315028
51,7,11.34778746
30,36,11.42421805
29,35,11.48696335
41,46,11.68475258
6,14,11.74070356
1,1,11.74679476
2,10,11.76358118
9,17,11.77252131
43,48,11.900039
10,18,11.96819315
25,31,11.97992517
42,47,12.166155
39,44,12.36434174
20,27,12.40656303
33,39,12.4216057
31,37,12.42546387
17,24,12.45845944
46,50,12.5161064
37,42,12.74163315
3,11,12.76772183
38,43,12.86373048
14,21,13.22435434
36,41,13.24251602
26,32,13.24480611
50,6,13.44235618
32,38,13.48833352
24,30,13.49165503
45,5,13.76165791
44,49,13.83204248
13,20,13.96404781
48,52,13.98334687
23,3,14.07422811
12,2,14.13897459
52,8,14.35480338
