Experimento,Entropia_NE,Entropia_SO,Id,Tratamiento,Stage,Entropia_NE_uno,Entropia_SO_uno,null1,null2,nulll3
Keta_2,16.48934,15.051,#5,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,16.32949,14.69455,#6,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,16.81326,16.0614,#8,Salina-CUMS-K,prueba_rev,,,,,
Keta_2,16.74201,16.42661,#9,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,17.57899,16.75362,#10,Ketamina-CUMS,prueba_rev,,,,,
Keta_2,17.22239,16.81571,#11,Ketamina-CUMS,prueba_rev,,,,,
Fluox_1,15.73718,16.99497,1a,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.80594,16.78256,2a,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.55335,16.62479,3a,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.80777,16.60155,4a,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,16.54723,16.9946,1b,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,15.51765,16.57903,2b,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,14.66863,16.47398,3b,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,15.882,16.80808,1-1,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,15.76411,16.31843,2-1,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,14.97594,16.71784,3-1,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,15.80898,16.86031,4-1,Salina-CUMS-F,prueba_1,,,,,
Fluox_1,15.22638,16.49486,1-2,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.63325,16.78435,2-2,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.82792,16.89025,3-2,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,15.72317,16.80517,4-2,Fluoxetina-CUMS,prueba_1,,,,,
Fluox_1,17.04029,17.71881,1a,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,16.8444,17.18431,2a,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,17.58317,17.61413,3a,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,16.88117,17.55692,4a,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,16.82265,17.07073,1b,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,17.2665,17.83911,2b,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,15.62815,17.09215,3b,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,16.71143,17.4858,1-1,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,16.71605,17.55418,2-1,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,16.78312,17.53118,3-1,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,16.99249,17.35874,4-1,Salina-CUMS-F,prueba_2,,,,,
Fluox_1,17.31905,17.47584,1-2,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,16.55656,17.58546,2-2,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,17.35623,17.7477,3-2,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,17.81194,17.96703,4-2,Fluoxetina-CUMS,prueba_2,,,,,
Fluox_1,16.59086,16.54131,1a,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,16.40156,16.46445,2a,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,16.76079,15.51949,3a,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,16.50082,16.4413,4a,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,17.12271,16.72881,1b,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.70115,15.7939,2b,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,15.79394,16.45433,3b,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.76272,16.01826,1-1,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.68451,15.43147,2-1,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.56157,16.06761,3-1,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.5281,15.59564,4-1,Salina-CUMS-F,prueba_rev,,,,,
Fluox_1,16.7866,15.85618,1-2,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,16.51649,15.54593,2-2,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,17.07721,16.20847,3-2,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox_1,17.03348,16.29704,4-2,Fluoxetina-CUMS,prueba_rev,,,,,
Fluox3,16.21327,17.19001,1,Salina-CUMS-F,prueba_1,,,,,
Fluox3,15.51517,16.64706,2,Salina-CUMS-F,prueba_1,,,,,
Fluox3,15.8689,16.12394,3,Salina-CUMS-F,prueba_1,,,,,
Fluox3,16.12914,16.63992,4,Salina-CUMS-F,prueba_1,,,,,
Fluox3,15.03049,16.54574,5,Flx,prueba_1,,,,,
Fluox3,14.1709,16.25874,6,Flx,prueba_1,,,,,
Fluox3,15.77045,15.3682,7,Flx,prueba_1,,,,,
Fluox3,16.2086,16.45838,8,Flx,prueba_1,,,,,
Fluox3,16.43629,16.31234,9,Flx,prueba_1,,,,,
Fluox3,15.22032,16.47016,10,Flx,prueba_1,,,,,
Fluox3,16.97217,16.85561,1,Salina-CUMS-F,prueba_2,,,,,
Fluox3,16.2386,16.61639,2,Salina-CUMS-F,prueba_2,,,,,
Fluox3,16.82997,17.50303,3,Salina-CUMS-F,prueba_2,,,,,
Fluox3,16.64726,16.92246,4,Salina-CUMS-F,prueba_2,,,,,
Fluox3,16.65437,16.16705,5,Flx,prueba_2,,,,,
Fluox3,17.39738,17.37792,6,Flx,prueba_2,,,,,
Fluox3,17.07792,17.41924,7,Flx,prueba_2,,,,,
Fluox3,16.29682,17.01539,8,Flx,prueba_2,,,,,
Fluox3,17.1466,16.93191,9,Flx,prueba_2,,,,,
Fluox3,16.1303,16.45374,10,Flx,prueba_2,,,,,
Fluox3,16.77814,16.45747,1,Salina-CUMS-F,prueba_rev,,,,,
Fluox3,16.67135,16.66728,2,Salina-CUMS-F,prueba_rev,,,,,
Fluox3,16.80698,16.65611,3,Salina-CUMS-F,prueba_rev,,,,,
Fluox3,15.53611,16.60996,4,Salina-CUMS-F,prueba_rev,,,,,
Fluox3,16.55456,15.6593,5,Flx,prueba_rev,,,,,
Fluox3,16.73666,15.45561,6,Flx,prueba_rev,,,,,
Fluox3,16.42626,15.80949,7,Flx,prueba_rev,,,,,
Fluox3,16.95017,16.59109,8,Flx,prueba_rev,,,,,
Fluox3,16.65037,15.96538,9,Flx,prueba_rev,,,,,
Fluox3,17.17752,16.67598,10,Flx,prueba_rev,,,,,
Sal-ctrl,15.33721,16.19893,1c,Salina-Control,prueba_1,13.33721,14.19893,,,
Sal-ctrl,15.02012,16.15653,2c,Salina-Control,prueba_1,13.02012,14.15653,,,
Sal-ctrl,15.0949,16.04665,3c,Salina-Control,prueba_1,13.0949,14.04665,,,
Sal-ctrl,17.03786,17.09777,4c,Salina-Control,prueba_1,15.03786,15.09777,,,
Sal-ctrl,16.49644,16.89454,5c,Salina-Control,prueba_1,14.49644,14.89454,,,
Sal-ctrl,17.2058,17.42272,6c,Salina-Control,prueba_1,15.2058,15.42272,,,
Sal-ctrl,15.02409,16.1213,7c,Salina-Control,prueba_1,13.02409,14.1213,,,
Sal-ctrl,15.29647,16.16634,8c,Salina-Control,prueba_1,13.29647,14.16634,,,
Sal-ctrl,16.27064,15.98875,9c,Salina-Control,prueba_1,14.27064,13.98875,,,
Sal-ctrl,14.64891,15.86463,10c,Salina-Control,prueba_1,12.64891,13.86463,,,
Sal-ctrl,14.89581,15.47979,1c,Salina-Control,prueba_2,12.39581,12.97979,,14.39581,14.97979
Sal-ctrl,15.63691,16.50175,2c,Salina-Control,prueba_2,13.13691,14.00175,,15.13691,16.00175
Sal-ctrl,17.64189,17.55248,3c,Salina-Control,prueba_2,15.14189,15.05248,,17.14189,17.05248
Sal-ctrl,16.37407,17.16655,4c,Salina-Control,prueba_2,13.87407,14.66655,,15.87407,16.66655
Sal-ctrl,15.86936,16.93665,5c,Salina-Control,prueba_2,13.36936,14.43665,,15.36936,16.43665
Sal-ctrl,17.337,17.2384,6c,Salina-Control,prueba_2,14.837,14.7384,,16.837,16.7384
Sal-ctrl,15.56297,16.80742,7c,Salina-Control,prueba_2,13.06297,14.30742,,15.06297,16.30742
Sal-ctrl,15.90762,17.04841,8c,Salina-Control,prueba_2,13.40762,14.54841,,15.40762,16.54841
Sal-ctrl,16.43483,17.24709,9c,Salina-Control,prueba_2,13.93483,14.74709,,15.93483,16.74709
Sal-ctrl,16.97913,17.37375,10c,Salina-Control,prueba_2,14.47913,14.87375,,16.47913,16.87375
Sal-ctrl,16.02795,16.06695,1c,Salina-Control,prueba_rev,13.87795,13.91695,,15.77795,15.81695
Sal-ctrl,16.32496,15.90663,2c,Salina-Control,prueba_rev,14.17496,13.75663,,16.07496,15.65663
Sal-ctrl,16.32624,15.78371,3c,Salina-Control,prueba_rev,14.17624,13.63371,,16.07624,15.53371
Sal-ctrl,16.50325,17.15954,4c,Salina-Control,prueba_rev,14.35325,15.00954,,16.25325,16.90954
Sal-ctrl,16.03117,16.7124,5c,Salina-Control,prueba_rev,13.88117,14.5624,,15.78117,16.4624
Sal-ctrl,16.34999,15.49792,6c,Salina-Control,prueba_rev,14.19999,13.34792,,16.09999,15.24792
Sal-ctrl,16.8548,16.89763,7c,Salina-Control,prueba_rev,14.7048,14.74763,,16.6048,16.64763
Sal-ctrl,16.04756,16.55886,8c,Salina-Control,prueba_rev,13.89756,14.40886,,15.79756,16.30886
Sal-ctrl,16.13306,16.33964,9c,Salina-Control,prueba_rev,13.98306,14.18964,,15.88306,16.08964
Sal-ctrl,16.41241,15.98825,10c,Salina-Control,prueba_rev,14.26241,13.83825,,16.16241,15.73825
