"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"270","CK_g1_1","entrenamiento_rev_2","Reversa_2",9.1,2.4,3.9,4.7,2,5.3,NA,NA,0,1,NA,0.188,0.188,20.1,4.309,0.214,NA,0.424,0.351,1.75,1,"Ket-CUMS"
"271","CK_g1_2","entrenamiento_rev_2","Reversa_2",3,0,1.9,3.2,1,2.9,NA,NA,0,1,NA,0.678,0.678,8.1,1.211,0.149,NA,0.39,0.486,1,1,"Ket-CUMS"
"272","CK_g1_2","entrenamiento_rev_2","Reversa_2",4.7,1.4,0,0,0,4.5,NA,NA,0,1,NA,0.483,0.483,6,0.513,0.085,NA,0.638,0.129,1.25,1,"Ket-CUMS"
"273","CK_g1_2","entrenamiento_rev_2","Reversa_2",5.4,2.6,0,0,0,4.4,NA,NA,0,1,NA,0.047,0.047,8.1,0.952,0.118,NA,0.484,0.208,1.5,1,"Ket-CUMS"
"274","CK_g1_2","entrenamiento_rev_2","Reversa_2",3.6,0,3.4,0.6,1.6,3.1,NA,NA,0,1,NA,0.814,0.814,7.5,0.976,0.13,NA,0.362,0.458,1.75,1,"Ket-CUMS"
"275","CK_g1_3","entrenamiento_rev_2","Reversa_2",16.9,0.9,14.1,12.1,6.8,11.2,NA,NA,1,1,0.124,0.105,0.105,44,7.967,0.181,NA,0.374,0.36,1,1,"Ket-CUMS"
"276","CK_g1_3","entrenamiento_rev_2","Reversa_2",3.9,0,0,0,0,2.7,NA,NA,0,1,NA,0.961,0.961,3.9,0.217,0.055,NA,0.641,0.151,1.25,1,"Ket-CUMS"
"277","CK_g1_3","entrenamiento_rev_2","Reversa_2",5.2,0,0,3.7,0,5.2,NA,NA,0,1,NA,0.477,0.477,8.9,1.44,0.161,NA,0.578,0.411,1.5,1,"Ket-CUMS"
"278","CK_g1_3","entrenamiento_rev_2","Reversa_2",4,2.8,0,0,0,3.5,NA,NA,0,1,NA,0.96,0.96,6.8,0.764,0.112,NA,0.479,0.317,1.75,1,"Ket-CUMS"
"279","CK_g1_4","entrenamiento_rev_2","Reversa_2",2.8,2.1,3.7,2.7,2.2,2.6,NA,NA,0,1,NA,0.312,0.312,11.3,2.412,0.213,NA,0.331,0.485,1,1,"Ket-CUMS"
