"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"319","CK_g2_1","entrenamiento_rev_1","Reversa_1",12.7,1.6,27.5,18.2,11.6,5.7,NA,NA,5,1,0.06,0.059,0.059,60,13.921,0.232,NA,0.409,0.549,0,0,"Ket-CUMS"
"320","CK_g2_1","entrenamiento_rev_1","Reversa_1",8.3,0,0,4.8,0,2.9,NA,NA,0,1,NA,0.109,0.109,13.1,2.446,0.186,NA,0.631,0.344,0.25,0,"Ket-CUMS"
"321","CK_g2_1","entrenamiento_rev_1","Reversa_1",9.9,8,23,17.4,7.4,8.1,NA,NA,1,2,0.034,0.12,0.12,58.2,11.904,0.205,NA,0.379,0.552,0.5,0,"Ket-CUMS"
"322","CK_g2_1","entrenamiento_rev_1","Reversa_1",11.2,0,0,5.2,0,5.8,NA,NA,0,1,NA,0.305,0.305,16.4,2.39,0.146,NA,0.623,0.274,0.75,0,"Ket-CUMS"
"323","CK_g2_2","entrenamiento_rev_1","Reversa_1",3.1,1.7,3.3,10.2,0.9,2.8,NA,NA,0,1,NA,0.23,0.23,18.3,3.329,0.182,NA,0.371,0.483,0,0,"Ket-CUMS"
"324","CK_g2_2","entrenamiento_rev_1","Reversa_1",4.6,0.8,2.2,3.8,1.2,2.9,NA,NA,0,1,NA,0.117,0.117,11.3,2.027,0.179,NA,0.438,0.364,0.25,0,"Ket-CUMS"
"325","CK_g2_2","entrenamiento_rev_1","Reversa_1",3.1,1,3.5,0.4,1.3,2.6,NA,NA,1,1,0.982,0.514,0.514,8,1.396,0.174,NA,0.35,0.512,0.5,0,"Ket-CUMS"
"326","CK_g2_2","entrenamiento_rev_1","Reversa_1",12.3,4,0.8,8.8,0,8.7,NA,NA,0,1,NA,0.095,0.095,25.9,5.191,0.2,NA,0.521,0.276,0.75,0,"Ket-CUMS"
"327","CsK_g2_5","entrenamiento_rev_1","Reversa_1",4,6,34.6,15.4,12.9,2,NA,NA,3,0,0.464,NA,NA,60,11.917,0.199,NA,0.315,0.657,0,0,"Sal-CUMS-K"
"328","CsK_g2_5","entrenamiento_rev_1","Reversa_1",10,8.8,28.2,13,5.9,3.3,NA,NA,0,0,NA,NA,NA,60,10.526,0.175,NA,0.391,0.578,0.25,0,"Sal-CUMS-K"
"329","CsK_g2_5","entrenamiento_rev_1","Reversa_1",9.6,29.5,15.4,5.5,5.2,4.4,NA,NA,0,0,NA,NA,NA,60,9.488,0.158,NA,0.411,0.516,0.5,0,"Sal-CUMS-K"
"330","CsK_g2_5","entrenamiento_rev_1","Reversa_1",20.3,12.8,16.2,4.8,4.2,4.3,NA,NA,1,1,0.119,0.091,0.091,54.1,7.963,0.147,NA,0.522,0.451,0.75,0,"Sal-CUMS-K"
"331","CK_g2_3","entrenamiento_rev_1","Reversa_1",8,4.2,13.9,10.5,5.5,4.3,NA,NA,1,1,0.388,0.099,0.099,36.5,7.566,0.207,NA,0.386,0.513,0,0,"Ket-CUMS"
"332","CK_g2_3","entrenamiento_rev_1","Reversa_1",15.3,30.7,4.2,9.8,1.4,5.8,NA,NA,1,1,0.118,0.119,0.119,60,8.845,0.147,NA,0.545,0.446,0.25,0,"Ket-CUMS"
"333","CK_g2_3","entrenamiento_rev_1","Reversa_1",16.9,13.9,18.2,11,4.2,7.1,NA,NA,1,0,0.049,NA,NA,60,10.106,0.168,NA,0.444,0.504,0.5,0,"Ket-CUMS"
"334","CK_g2_3","entrenamiento_rev_1","Reversa_1",3.3,0,3.4,4.8,1.4,3.1,NA,NA,0,1,NA,0.284,0.284,11.6,1.58,0.137,NA,0.38,0.528,0.75,0,"Ket-CUMS"
"335","CK_g2_4","entrenamiento_rev_1","Reversa_1",4.9,4.5,27.6,23,8.7,0.9,NA,NA,1,0,0.125,NA,NA,60,10.534,0.176,NA,0.385,0.647,0,0,"Ket-CUMS"
"336","CK_g2_4","entrenamiento_rev_1","Reversa_1",10.7,2.9,6,3.1,1.4,6.4,NA,NA,0,1,NA,0.09,0.09,22.6,3.505,0.155,NA,0.432,0.317,0.25,0,"Ket-CUMS"
"337","CK_g2_4","entrenamiento_rev_1","Reversa_1",6.1,1.6,3.1,4.4,1.1,5.9,NA,NA,0,1,NA,0.375,0.375,15.2,2.275,0.15,NA,0.421,0.424,0.5,0,"Ket-CUMS"
"338","CK_g2_4","entrenamiento_rev_1","Reversa_1",8.5,0,0,13.2,0,5.3,NA,NA,0,2,NA,0.227,0.227,21.7,3.341,0.154,NA,0.516,0.448,0.75,0,"Ket-CUMS"
"339","CK_g2_5","entrenamiento_rev_1","Reversa_1",11.5,24.5,20.3,3.8,8,4.2,NA,NA,2,0,0.102,NA,NA,60,12.926,0.215,NA,0.395,0.458,0,0,"Ket-CUMS"
"340","CK_g2_5","entrenamiento_rev_1","Reversa_1",15.5,9.3,7.1,0.3,4.1,7.4,NA,NA,1,2,0.152,0.037,0.037,32.2,6.052,0.188,NA,0.543,0.389,0.25,0,"Ket-CUMS"
"341","CK_g2_5","entrenamiento_rev_1","Reversa_1",4.1,4.3,1.9,0,1,2.9,NA,NA,0,1,NA,0.462,0.462,10.2,1.58,0.154,NA,0.498,0.455,0.5,0,"Ket-CUMS"
"342","CK_g2_5","entrenamiento_rev_1","Reversa_1",5.5,3.4,5.6,8.3,2.2,2.9,NA,NA,0,1,NA,0.164,0.164,22.8,3.838,0.168,NA,0.443,0.562,0.75,0,"Ket-CUMS"
"343","CSK_g2_1","entrenamiento_rev_2","Reversa_2",3.2,0,0,2.3,0,2.9,NA,NA,0,1,NA,0.751,0.751,5.6,1.071,0.193,NA,0.544,0.371,1,1,"Sal-CUMS-K"
"344","CSK_g2_1","entrenamiento_rev_2","Reversa_2",3,2.9,3.5,0,3.1,2.8,NA,NA,0,1,NA,0.233,0.233,9.4,1.579,0.168,NA,0.338,0.479,1.25,1,"Sal-CUMS-K"
"345","CSK_g2_1","entrenamiento_rev_2","Reversa_2",3.7,0.3,2.2,2.3,0,3.1,NA,NA,0,1,NA,0.625,0.625,8.5,1.254,0.147,NA,0.452,0.412,1.5,1,"Sal-CUMS-K"
"346","CSK_g2_1","entrenamiento_rev_2","Reversa_2",8.3,1.8,2.1,6.5,1,6.4,NA,NA,0,1,NA,0.245,0.245,18.6,3.122,0.168,NA,0.422,0.306,1.75,1,"Sal-CUMS-K"
"347","CSK_g2_2","entrenamiento_rev_2","Reversa_2",3.6,0,0,8.8,0,3.3,NA,NA,0,1,NA,0.233,0.233,12.4,1.567,0.127,NA,0.493,0.446,1,1,"Sal-CUMS-K"
"348","CSK_g2_2","entrenamiento_rev_2","Reversa_2",3.3,0.9,4.1,0,2.1,3.1,NA,NA,1,1,0.464,0.59,0.59,8.3,1.437,0.174,NA,0.369,0.498,1.25,1,"Sal-CUMS-K"
"349","CSK_g2_2","entrenamiento_rev_2","Reversa_2",5.3,2.7,2.1,0.4,1.3,4.9,NA,NA,0,1,NA,0.327,0.327,10.6,1.457,0.138,NA,0.471,0.307,1.5,1,"Sal-CUMS-K"
"350","CSK_g2_2","entrenamiento_rev_2","Reversa_2",3.7,0,3.8,7,0,3.1,NA,NA,0,1,NA,0.345,0.345,14.5,2.378,0.164,NA,0.424,0.509,1.75,1,"Sal-CUMS-K"
"351","CSK_g2_3","entrenamiento_rev_2","Reversa_2",2.7,0,0,3.6,0,2.6,NA,NA,0,1,NA,0.59,0.59,6.2,1.007,0.162,NA,0.572,0.458,1,1,"Sal-CUMS-K"
"352","CSK_g2_3","entrenamiento_rev_2","Reversa_2",7,4.4,0.7,3.8,0,5,NA,NA,0,1,NA,0.257,0.257,15.9,2.855,0.179,NA,0.488,0.32,1.25,1,"Sal-CUMS-K"
"353","CSK_g2_3","entrenamiento_rev_2","Reversa_2",3.6,2.2,0,0,0,3.2,NA,NA,0,1,NA,0.902,0.902,5.7,0.819,0.142,NA,0.555,0.395,1.5,1,"Sal-CUMS-K"
"354","CSK_g2_3","entrenamiento_rev_2","Reversa_2",3,0,0,2.6,0,2.7,NA,NA,0,1,NA,0.991,0.991,5.6,0.684,0.121,NA,0.473,0.4,1.75,1,"Sal-CUMS-K"
"355","CSK_g2_4","entrenamiento_rev_2","Reversa_2",3.2,3.2,0,6.2,0,2.7,NA,NA,0,1,NA,0.287,0.287,12.6,2.672,0.212,NA,0.55,0.395,1,1,"Sal-CUMS-K"
"356","CSK_g2_4","entrenamiento_rev_2","Reversa_2",3,2.6,0,0,0,2.7,NA,NA,0,1,NA,0.803,0.803,5.6,0.973,0.174,NA,0.576,0.451,1.25,1,"Sal-CUMS-K"
"357","CSK_g2_4","entrenamiento_rev_2","Reversa_2",8.1,2.8,0,0.8,0,5.8,NA,NA,0,1,NA,0.432,0.432,11.6,1.307,0.113,NA,0.555,0.233,1.5,1,"Sal-CUMS-K"
"358","CSK_g2_4","entrenamiento_rev_2","Reversa_2",3.5,0.3,2.9,1.1,0.5,3.1,NA,NA,0,1,NA,0.672,0.672,7.8,1.217,0.156,NA,0.435,0.509,1.75,1,"Sal-CUMS-K"
"359","CK_g2_1","entrenamiento_rev_2","Reversa_2",6.7,0,0,7.6,0,5.2,NA,NA,0,1,NA,0.515,0.515,14.3,1.638,0.115,NA,0.59,0.279,1,1,"Ket-CUMS"
"360","CK_g2_1","entrenamiento_rev_2","Reversa_2",3.3,2.1,0,0,0,2.9,NA,NA,0,1,NA,0.943,0.943,5.4,0.45,0.083,NA,0.603,0.231,1.25,1,"Ket-CUMS"
"361","CK_g2_1","entrenamiento_rev_2","Reversa_2",7.9,2.6,0,0,0,7.4,NA,NA,0,4,NA,0.884,0.884,10.5,0.817,0.078,NA,0.538,0.234,1.5,1,"Ket-CUMS"
"362","CK_g2_1","entrenamiento_rev_2","Reversa_2",3.2,0,0,4.4,0,3,NA,NA,0,1,NA,0.789,0.789,7.7,0.941,0.122,NA,0.515,0.418,1.75,1,"Ket-CUMS"
"363","CK_g2_2","entrenamiento_rev_2","Reversa_2",2,0,0,3.2,0,2,NA,NA,0,1,NA,0.912,0.912,5.2,0.787,0.151,NA,0.542,0.672,1,1,"Ket-CUMS"
"364","CK_g2_2","entrenamiento_rev_2","Reversa_2",4.5,6.3,1.4,0.1,0,3.2,NA,NA,0,1,NA,0.192,0.192,12.3,1.631,0.133,NA,0.465,0.327,1.25,1,"Ket-CUMS"
"365","CK_g2_2","entrenamiento_rev_2","Reversa_2",5.5,0,3.3,4,1.3,4.9,NA,NA,0,1,NA,0.407,0.407,12.8,1.768,0.138,NA,0.44,0.334,1.5,1,"Ket-CUMS"
"366","CK_g2_2","entrenamiento_rev_2","Reversa_2",3,0,0,5.2,0,2.9,NA,NA,0,1,NA,0.76,0.76,8.2,0.994,0.122,NA,0.537,0.377,1.75,1,"Ket-CUMS"
"367","CsK_g2_5","entrenamiento_rev_2","Reversa_2",8.6,0,0,12.1,0,7.3,NA,NA,0,1,NA,0.119,0.119,20.7,3.116,0.15,NA,0.488,0.276,1,1,"Sal-CUMS-K"
"368","CsK_g2_5","entrenamiento_rev_2","Reversa_2",3,1.1,0,0,0,2.6,NA,NA,0,1,NA,0.974,0.974,4.1,0.448,0.11,NA,0.634,0.249,1.25,1,"Sal-CUMS-K"
"369","CsK_g2_5","entrenamiento_rev_2","Reversa_2",3,0.2,3,0,0.9,2.6,NA,NA,0,1,NA,0.827,0.827,6.3,1.056,0.168,NA,0.403,0.512,1.5,1,"Sal-CUMS-K"
"370","CK_g2_3","entrenamiento_rev_2","Reversa_2",7.7,3.6,5.2,4.3,4.1,6.7,NA,NA,1,1,0.999,0.094,0.094,20.8,3.248,0.156,NA,0.403,0.342,1,1,"Ket-CUMS"
"371","CK_g2_3","entrenamiento_rev_2","Reversa_2",9.2,2.2,0,0,0,8.7,NA,NA,0,1,NA,0.35,0.35,11.3,1.049,0.093,NA,0.677,0.121,1.25,1,"Ket-CUMS"
"372","CK_g2_3","entrenamiento_rev_2","Reversa_2",3.8,2.4,1.4,0,0,3.3,NA,NA,0,1,NA,0.919,0.919,7.5,0.93,0.124,NA,0.432,0.409,1.5,1,"Ket-CUMS"
"373","CK_g2_3","entrenamiento_rev_2","Reversa_2",3.6,0,0,5.9,0,3.1,NA,NA,0,1,NA,0.711,0.711,9.5,1.038,0.109,NA,0.523,0.437,1.75,1,"Ket-CUMS"
"374","CK_g2_4","entrenamiento_rev_2","Reversa_2",7.7,0,0,7.7,0,5.9,NA,NA,0,1,NA,0.396,0.396,15.3,1.738,0.113,NA,0.624,0.356,1,1,"Ket-CUMS"
"375","CK_g2_4","entrenamiento_rev_2","Reversa_2",8.3,1,0,0,0,7.4,NA,NA,0,1,NA,0.508,0.508,9.3,0.581,0.063,NA,0.664,0.133,1.25,1,"Ket-CUMS"
"376","CK_g2_4","entrenamiento_rev_2","Reversa_2",11,0.8,6.1,0,1,5.8,NA,NA,0,1,NA,0.402,0.402,17.9,1.725,0.096,NA,0.437,0.332,1.5,1,"Ket-CUMS"
"377","CK_g2_4","entrenamiento_rev_2","Reversa_2",12.4,1.7,0,6.4,0,5.4,NA,NA,0,1,NA,0.323,0.323,20.5,2.614,0.128,NA,0.502,0.297,1.75,1,"Ket-CUMS"
"378","CK_g2_5","entrenamiento_rev_2","Reversa_2",5.3,2.9,0,1.6,0,3.9,NA,NA,0,1,NA,0.154,0.154,9.8,1.793,0.183,NA,0.625,0.254,1,1,"Ket-CUMS"
"379","CK_g2_5","entrenamiento_rev_2","Reversa_2",12,5.4,9.2,2.8,3.5,7.5,NA,NA,1,1,0.124,0.067,0.067,29.4,6.456,0.22,NA,0.475,0.433,1.25,1,"Ket-CUMS"
"380","CK_g2_5","entrenamiento_rev_2","Reversa_2",2.8,2.4,0,0,0,2.6,NA,NA,0,1,NA,0.92,0.92,5.2,0.595,0.114,NA,0.487,0.356,1.5,1,"Ket-CUMS"
"381","CK_g2_5","entrenamiento_rev_2","Reversa_2",7.2,3.7,4.3,2.2,1.7,4.6,NA,NA,1,1,0.158,0.213,0.213,17.4,3.596,0.207,NA,0.473,0.421,1.75,1,"Ket-CUMS"
"382","f_g3_1","entrenamiento_rev_1","Reversa_1",5,7.6,28.1,19.3,13.4,1.3,NA,NA,3,0,0.437,NA,NA,60,11.206,0.187,NA,0.26,0.496,0,0,"Sal-CUMS-F"
"383","f_g3_1","entrenamiento_rev_1","Reversa_1",4.3,5.3,17.6,10.8,8.3,3.7,NA,NA,0,1,NA,0.087,0.087,37.9,4.691,0.124,NA,0.279,0.427,0.25,0,"Sal-CUMS-F"
"384","f_g3_1","entrenamiento_rev_1","Reversa_1",13.4,5.8,15.8,25,8.6,10.6,NA,NA,2,2,0.861,0.097,0.097,60,10.04,0.167,NA,0.381,0.377,0.5,0,"Sal-CUMS-F"
"385","f_g3_1","entrenamiento_rev_1","Reversa_1",0,34.3,25.1,0.6,15.2,0,NA,NA,4,0,0.091,NA,NA,60,8.429,0.141,NA,0.235,0.539,0.75,0,"Sal-CUMS-F"
"386","f_g3_2","entrenamiento_rev_1","Reversa_1",6.4,15.2,30.5,7.9,17.6,4.9,NA,NA,2,1,0.058,0.117,0.117,60,10.347,0.172,NA,0.266,0.477,0,0,"Sal-CUMS-F"
"387","f_g3_2","entrenamiento_rev_1","Reversa_1",6.5,14.8,12,4,8.3,4.5,NA,NA,2,1,0.209,0.051,0.051,37.4,6.785,0.181,NA,0.359,0.43,0.25,0,"Sal-CUMS-F"
"388","f_g3_2","entrenamiento_rev_1","Reversa_1",19.7,27.3,11.2,1.8,6.1,12.8,NA,NA,1,7,0.207,0.022,0.022,60,9.112,0.152,NA,0.472,0.429,0.5,0,"Sal-CUMS-F"
"389","f_g3_2","entrenamiento_rev_1","Reversa_1",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.9,0,0,NA,0,0,0.75,0,"Sal-CUMS-F"
"390","f_g3_3","entrenamiento_rev_1","Reversa_1",4.7,9.9,27.7,17.6,10.6,2.3,NA,NA,1,0,0.082,NA,NA,60,15.122,0.252,NA,0.295,0.584,0,0,"Sal-CUMS-F"
"391","f_g3_3","entrenamiento_rev_1","Reversa_1",6.2,10.2,16.1,27.6,4.8,1.5,NA,NA,2,0,0.038,NA,NA,60,13.856,0.231,NA,0.399,0.517,0.25,0,"Sal-CUMS-F"
"392","f_g3_3","entrenamiento_rev_1","Reversa_1",20.9,2.3,11.1,5.8,4.3,19.1,NA,NA,2,4,0.91,0.08,0.08,40.1,4.853,0.121,NA,0.454,0.334,0.5,0,"Sal-CUMS-F"
"393","f_g3_3","entrenamiento_rev_1","Reversa_1",9.1,9,19.5,22.4,4.7,4.6,NA,NA,2,1,0.847,0.044,0.044,60,13.4,0.223,NA,0.421,0.549,0.75,0,"Sal-CUMS-F"
"394","f_g3_4","entrenamiento_rev_1","Reversa_1",0,16.7,33.6,9.6,20.8,0,NA,NA,1,0,0.18,NA,NA,60,7.344,0.122,NA,0.218,0.568,0,0,"Sal-CUMS-F"
"395","f_g3_4","entrenamiento_rev_1","Reversa_1",3.4,10.7,38.2,7.7,22.1,2.8,NA,NA,3,0,0.13,NA,NA,60,4.973,0.083,NA,0.205,0.481,0.25,0,"Sal-CUMS-F"
"396","f_g3_4","entrenamiento_rev_1","Reversa_1",0.3,14.6,27.6,17.4,12.3,0,NA,NA,2,0,0.456,NA,NA,60,3.492,0.058,NA,0.244,0.449,0.5,0,"Sal-CUMS-F"
"397","f_g3_4","entrenamiento_rev_1","Reversa_1",2.8,16.9,10.4,29.9,7.6,0,NA,NA,1,0,0.654,NA,NA,60,3.895,0.065,NA,0.282,0.46,0.75,0,"Sal-CUMS-F"
"398","f_g3_5","entrenamiento_rev_1","Reversa_1",16.4,5.4,0.2,3.2,0,11.1,NA,NA,0,1,NA,0.35,0.35,25.2,2.134,0.085,NA,0.502,0.25,0,0,"Flx-CUMS"
"399","f_g3_5","entrenamiento_rev_1","Reversa_1",3,0,0,2.7,0,2.8,NA,NA,0,1,NA,0.831,0.831,5.7,0.863,0.15,NA,0.575,0.409,0.25,0,"Flx-CUMS"
"400","f_g3_5","entrenamiento_rev_1","Reversa_1",3.8,4,0,0,0,3.3,NA,NA,0,1,NA,0.481,0.481,7.8,0.758,0.097,NA,0.613,0.265,0.5,0,"Flx-CUMS"
"401","f_g3_5","entrenamiento_rev_1","Reversa_1",23.6,13.2,8.1,15,2.6,13.9,NA,NA,0,0,NA,NA,NA,60,6.037,0.101,NA,0.413,0.278,0.75,0,"Flx-CUMS"
"402","f_g3_6","entrenamiento_rev_1","Reversa_1",4.9,0,0,0,0,4.9,NA,NA,0,1,NA,0.999,0.999,4.9,0.141,0.029,NA,0.603,0.052,0,0,"Flx-CUMS"
"403","f_g3_6","entrenamiento_rev_1","Reversa_1",6.2,2,2.1,2.9,1.5,5.5,NA,NA,1,1,0.191,0.245,0.245,13.2,3.022,0.229,NA,0.508,0.34,0.25,0,"Flx-CUMS"
"404","f_g3_6","entrenamiento_rev_1","Reversa_1",4.2,0.6,0,0,0,3.4,NA,NA,0,2,NA,0.842,0.842,4.9,0.55,0.113,NA,0.69,0.198,0.5,0,"Flx-CUMS"
"405","f_g3_6","entrenamiento_rev_1","Reversa_1",7,0,0,0,0,7,NA,NA,0,1,NA,NA,NA,7,0,0,NA,0.659,0,0.75,0,"Flx-CUMS"
"406","f_g3_7","entrenamiento_rev_1","Reversa_1",5.9,7,26.9,13.7,16.8,4.6,NA,NA,2,1,0.005,0.059,0.059,53.6,10.027,0.187,NA,0.252,0.521,0,0,"Flx"
"407","f_g3_7","entrenamiento_rev_1","Reversa_1",4.8,0,0,6.3,0,3.7,NA,NA,0,1,NA,0.446,0.446,11,1.597,0.145,NA,0.417,0.33,0.25,0,"Flx"
"408","f_g3_7","entrenamiento_rev_1","Reversa_1",6.6,4.2,4,2.8,2.9,5.7,NA,NA,1,2,0.868,0.222,0.222,17.6,3.337,0.19,NA,0.428,0.344,0.5,0,"Flx"
"409","f_g3_7","entrenamiento_rev_1","Reversa_1",9.2,1.7,1.3,4.5,0,7.3,NA,NA,0,4,NA,0.093,0.093,16.6,2.473,0.149,NA,0.488,0.237,0.75,0,"Flx"
"410","f_g3_8","entrenamiento_rev_1","Reversa_1",9.7,23.2,17.7,9.4,6.7,1.6,NA,NA,1,0,0.054,NA,NA,60,8.573,0.143,NA,0.467,0.528,0,0,"Flx"
"411","f_g3_8","entrenamiento_rev_1","Reversa_1",4.1,0,3.9,5.6,1.8,3.4,NA,NA,0,1,NA,0.376,0.376,13.5,1.942,0.144,NA,0.36,0.551,0.25,0,"Flx"
"412","f_g3_8","entrenamiento_rev_1","Reversa_1",22,1.5,3.2,1.9,0.3,20.6,NA,NA,0,9,NA,0.212,0.212,28.7,1.701,0.059,NA,0.525,0.16,0.5,0,"Flx"
"413","f_g3_8","entrenamiento_rev_1","Reversa_1",14.5,2.6,0.3,1.7,0,7.8,NA,NA,0,1,NA,0.138,0.138,19.2,2.821,0.147,NA,0.63,0.208,0.75,0,"Flx"
"414","f_g3_9","entrenamiento_rev_1","Reversa_1",9.9,21.8,13.7,14.6,6.9,4.1,NA,NA,1,1,0.032,0.046,0.046,60,14.585,0.243,NA,0.376,0.425,0,0,"Flx"
"415","f_g3_9","entrenamiento_rev_1","Reversa_1",6.7,5.2,5.1,3.2,1.8,4,NA,NA,0,1,NA,0.158,0.158,20.2,4.952,0.245,NA,0.489,0.499,0.25,0,"Flx"
"416","f_g3_9","entrenamiento_rev_1","Reversa_1",6.6,1.9,4.4,5.4,2.6,5.7,NA,NA,1,1,0.236,0.075,0.075,18.3,4.074,0.222,NA,0.452,0.356,0.5,0,"Flx"
"417","f_g3_9","entrenamiento_rev_1","Reversa_1",4.7,0.4,2.5,1.2,1.9,3.5,NA,NA,0,1,NA,0.119,0.119,8.9,1.939,0.217,NA,0.401,0.362,0.75,0,"Flx"
"418","f_g3_10","entrenamiento_rev_1","Reversa_1",3.2,2.5,8.1,2.2,3,2.8,NA,NA,1,1,0.523,0.405,0.405,16,1.9,0.118,NA,0.286,0.494,0,0,"Flx"
"419","f_g3_10","entrenamiento_rev_1","Reversa_1",10.1,0.7,0,3.3,0,7.4,NA,NA,0,3,NA,0.416,0.416,14,1.764,0.126,NA,0.595,0.249,0.25,0,"Flx"
"420","f_g3_10","entrenamiento_rev_1","Reversa_1",6.9,0,3.8,1.8,2.7,3,NA,NA,1,1,0.578,0.085,0.085,12.4,1.874,0.151,NA,0.438,0.33,0.5,0,"Flx"
"421","f_g3_10","entrenamiento_rev_1","Reversa_1",2,0,0,4.5,0,2,NA,NA,0,1,NA,0.948,0.948,6.5,0.402,0.062,NA,0.664,0.312,0.75,0,"Flx"
"422","f_g3_1","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.7,0,0,NA,0,0,1,1,"Sal-CUMS-F"
"423","f_g3_1","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.7,0,0,NA,0,0,1.25,1,"Sal-CUMS-F"
"424","f_g3_1","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.4,0,0,NA,0,0,1.5,1,"Sal-CUMS-F"
"425","f_g3_1","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.1,0,0,NA,0,0,1.75,1,"Sal-CUMS-F"
"426","f_g3_2","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.4,0,0,NA,0,0,1,1,"Sal-CUMS-F"
"427","f_g3_2","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.25,1,"Sal-CUMS-F"
"428","f_g3_2","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.4,0,0,NA,0,0,1.5,1,"Sal-CUMS-F"
"429","f_g3_2","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.75,1,"Sal-CUMS-F"
"430","f_g3_3","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1,1,"Sal-CUMS-F"
"431","f_g3_3","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.25,1,"Sal-CUMS-F"
"432","f_g3_3","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.5,1,"Sal-CUMS-F"
"433","f_g3_3","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.75,1,"Sal-CUMS-F"
"434","f_g3_4","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1,1,"Sal-CUMS-F"
"435","f_g3_4","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.25,1,"Sal-CUMS-F"
"436","f_g3_4","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.5,1,"Sal-CUMS-F"
"437","f_g3_4","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.75,1,"Sal-CUMS-F"
"438","f_g3_5","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1,1,"Flx-CUMS"
"439","f_g3_5","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.25,1,"Flx-CUMS"
"440","f_g3_5","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.5,1,"Flx-CUMS"
"441","f_g3_5","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.75,1,"Flx-CUMS"
"442","f_g3_6","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1,1,"Flx-CUMS"
"443","f_g3_6","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.25,1,"Flx-CUMS"
"444","f_g3_6","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.5,1,"Flx-CUMS"
"445","f_g3_6","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.3,0,0,NA,0,0,1.75,1,"Flx-CUMS"
"446","f_g3_7","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1,1,"Flx"
"447","f_g3_7","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.25,1,"Flx"
"448","f_g3_7","entrenamiento_rev_2","Reversa_2",0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,0.2,0,0,NA,0,0,1.5,1,"Flx"
